plot_id,plot_health,greenhouse_id,farm_id,date
P0001,0.646654062325453,GH003,F08,2025-02-15
P0001,0.602387615841695,GH003,F08,2025-02-16
P0001,0.645514303871119,GH003,F08,2025-02-17
P0001,0.685667320033168,GH003,F08,2025-02-18
P0001,0.67307498618006,GH003,F08,2025-02-19
P0001,0.672564929037845,GH003,F08,2025-02-20
P0001,0.672656204135276,GH003,F08,2025-02-21
P0001,0.652303739672995,GH003,F08,2025-02-22
P0001,0.609283041076064,GH003,F08,2025-02-23
P0001,0.636403267195074,GH003,F08,2025-02-24
P0001,0.660627629306059,GH003,F08,2025-02-25
P0001,0.542188193959416,GH003,F08,2025-02-26
P0001,0.591887577454107,GH003,F08,2025-02-27
P0001,0.495101849470466,GH003,F08,2025-02-28
P0001,0.524711577341449,GH003,F08,2025-03-01
P0001,0.448372440171037,GH003,F08,2025-03-02
P0001,0.560808384208018,GH003,F08,2025-03-03
P0001,0.548644732149077,GH003,F08,2025-03-04
P0001,0.655433432622947,GH003,F08,2025-03-05
P0001,0.5845740509617,GH003,F08,2025-03-06
P0001,0.648614705529597,GH003,F08,2025-03-07
P0001,0.570772164059869,GH003,F08,2025-03-08
P0001,0.626264733803117,GH003,F08,2025-03-09
P0001,0.649102609833737,GH003,F08,2025-03-10
P0001,0.539547044410047,GH003,F08,2025-03-11
P0001,0.559159678871662,GH003,F08,2025-03-12
P0001,0.641752610064207,GH003,F08,2025-03-13
P0001,0.552642212741269,GH003,F08,2025-03-14
P0001,0.524538866358536,GH003,F08,2025-03-15
P0001,0.553417388219653,GH003,F08,2025-03-16
P0001,0.538583238730778,GH003,F08,2025-03-17
P0001,0.558306287473538,GH003,F08,2025-03-18
P0001,0.640124692875411,GH003,F08,2025-03-19
P0001,0.53736851157667,GH003,F08,2025-03-20
P0001,0.537240420626074,GH003,F08,2025-03-21
P0001,0.537061403199503,GH003,F08,2025-03-22
P0001,0.611581045586426,GH003,F08,2025-03-23
P0001,0.556725204163825,GH003,F08,2025-03-24
P0001,0.540485896364896,GH003,F08,2025-03-25
P0001,0.519707794121681,GH003,F08,2025-03-26
P0001,0.600633869998587,GH003,F08,2025-03-27
P0001,0.545840040052171,GH003,F08,2025-03-28
P0001,0.562520531476853,GH003,F08,2025-03-29
P0001,0.593295924051873,GH003,F08,2025-03-30
P0001,0.560892568063384,GH003,F08,2025-03-31
P0001,0.552308239994401,GH003,F08,2025-04-01
P0001,0.540731924829812,GH003,F08,2025-04-02
P0001,0.566882888251485,GH003,F08,2025-04-03
P0001,0.49736286365032,GH003,F08,2025-04-04
P0001,0.483163760113855,GH003,F08,2025-04-05
P0001,0.457738868514673,GH003,F08,2025-04-06
P0001,0.492276088367721,GH003,F08,2025-04-07
P0001,0.523426000357481,GH003,F08,2025-04-08
P0001,0.507674748644404,GH003,F08,2025-04-09
P0001,0.55602236260025,GH003,F08,2025-04-10
P0001,0.577281956942113,GH003,F08,2025-04-11
P0001,0.588752811229634,GH003,F08,2025-04-12
P0001,0.572368645777892,GH003,F08,2025-04-13
P0001,0.575897913444692,GH003,F08,2025-04-14
P0001,0.596137394183563,GH003,F08,2025-04-15
P0001,0.627830475361712,GH003,F08,2025-04-16
P0001,0.562543399214519,GH003,F08,2025-04-17
P0001,0.521188426287036,GH003,F08,2025-04-18
P0001,0.596675585397601,GH003,F08,2025-04-19
P0001,0.581172903942611,GH003,F08,2025-04-20
P0001,0.563493210743122,GH003,F08,2025-04-21
P0001,0.540618364848966,GH003,F08,2025-04-22
P0001,0.562678277862674,GH003,F08,2025-04-23
P0001,0.550318308199284,GH003,F08,2025-04-24
P0001,0.555970142088608,GH003,F08,2025-04-25
P0001,0.561628753290644,GH003,F08,2025-04-26
P0001,0.628499101129379,GH003,F08,2025-04-27
P0001,0.54786907707043,GH003,F08,2025-04-28
P0001,0.55363369988217,GH003,F08,2025-04-29
P0001,0.617289322682502,GH003,F08,2025-04-30
P0001,0.576369869430345,GH003,F08,2025-05-01
P0001,0.613539378991825,GH003,F08,2025-05-02
P0001,0.613752610616099,GH003,F08,2025-05-03
P0001,0.604910198703375,GH003,F08,2025-05-04
P0001,0.547951299883616,GH003,F08,2025-05-05
P0001,0.620375044059758,GH003,F08,2025-05-06
P0001,0.566656740168807,GH003,F08,2025-05-07
P0001,0.59375604470882,GH003,F08,2025-05-08
P0001,0.564903797199235,GH003,F08,2025-05-09
P0001,0.543072340274647,GH003,F08,2025-05-10
P0001,0.515859017596601,GH003,F08,2025-05-11
P0001,0.456731943744156,GH003,F08,2025-05-12
P0001,0.555231127824313,GH003,F08,2025-05-13
P0001,0.566027344184546,GH003,F08,2025-05-14
P0001,0.661243553455291,GH003,F08,2025-05-15
P0001,0.644251419600988,GH003,F08,2025-05-16
P0001,0.6716675802293,GH003,F08,2025-05-17
P0001,0.653203490977652,GH003,F08,2025-05-18
P0001,0.560777778058192,GH003,F08,2025-05-19
P0001,0.692683782237153,GH003,F08,2025-05-20
P0001,0.645654057059856,GH003,F08,2025-05-21
P0001,0.67627111113677,GH003,F08,2025-05-22
P0001,0.640364199223568,GH003,F08,2025-05-23
P0001,0.664085477392045,GH003,F08,2025-05-24
P0001,0.58750275074615,GH003,F08,2025-05-25
P0001,0.687071764647906,GH003,F08,2025-05-26
P0001,0.582931473582321,GH003,F08,2025-05-27
P0001,0.663938259715754,GH003,F08,2025-05-28
P0001,0.582253208863053,GH003,F08,2025-05-29
P0001,0.602173860961815,GH003,F08,2025-05-30
P0001,0.590886678324035,GH003,F08,2025-05-31
P0001,0.693076019759563,GH003,F08,2025-06-01
P0001,0.583258252949535,GH003,F08,2025-06-02
P0001,0.67477891029784,GH003,F08,2025-06-03
P0001,0.646546820854359,GH003,F08,2025-06-04
P0001,0.674751297103237,GH003,F08,2025-06-05
P0001,0.677571810688023,GH003,F08,2025-06-06
P0001,0.67143812750117,GH003,F08,2025-06-07
P0001,0.697024926301673,GH003,F08,2025-06-08
P0001,0.671043485888751,GH003,F08,2025-06-09
P0001,0.660851270736237,GH003,F08,2025-06-10
P0001,0.694907666787197,GH003,F08,2025-06-11
P0001,0.655003450634325,GH003,F08,2025-06-12
P0001,0.655952111500404,GH003,F08,2025-06-13
P0001,0.650785808286811,GH003,F08,2025-06-14
P0001,0.553057828019436,GH003,F08,2025-06-15
P0001,0.59077835082559,GH003,F08,2025-06-16
P0001,0.557189730966207,GH003,F08,2025-06-17
P0001,0.61240121951916,GH003,F08,2025-06-18
P0001,0.612336777175276,GH003,F08,2025-06-19
