plot_id,marketable_yield,roi_normalized,precision_benefit,plot_health,env_stability_score,final_score,performance_percent,final_score_scaled
P0001,0.023078508179324792,0.5118962280082204,0.13528283869528265,0.6747612216614068,0.5357700351521363,0.3907175620787889,43.228253071580035,0.5187390368589603
P0002,0.04914645046014429,0.3406464470734705,0.10412795473473933,0.6634366774028904,0.43256690430862044,0.3358561496401635,37.15849002293827,0.4459018802752592
P0003,0.2011654676893235,0.42112090618247694,0.1909059474558844,0.6622074203778455,0.5269339342750878,0.4197671094609351,46.44224012445032,0.5573068814934038
P0004,0.7627997515002966,0.015681136221444736,0,0.7006415667325286,0.5950878037280213,0.4971837717477855,55.007473413396184,0.6600896809607542
P0005,0.7795835740844649,0.46774270066192725,0.3636154793688001,0.6955545360003929,0.5178931338617615,0.6205641254386237,68.65804270194302,0.8238965124233162
P0006,0.21661709856016448,0.5480353181667581,0.32164811767723817,0.6947561372936272,0.5350477612707932,0.4720225635076266,52.223684858805996,0.6266842183056719
P0007,0.10998640680908467,0.3986859582956375,0.10329686592044682,0.6840649856003139,0.44546688906380927,0.375668534672307,41.563257104295204,0.49875908525154233
P0008,0.2610472566101616,0.4590930017272237,0.3363719181426379,0.699396650460399,0.4769703804926172,0.45630074301097867,50.484252334813114,0.6058110280177574
P0009,0.15096545807826517,0.41311196570603353,0.3238357255181276,0.6977021900596275,0.4025831615771692,0.39957243687737654,44.20793969399326,0.5304952763279192
P0010,0.1555597515255408,0.544414841927396,0.5534868383867465,0.694883588821385,0.528181443654323,0.4633940916123433,51.26904702597905,0.6152285643117485
P0011,0.15597642234765477,0.39142655526486264,0.11651197858876387,0.6657405554534317,0.5696647765113845,0.4023600197900159,44.51635260219341,0.5341962312263208
P0012,0.05997863916203015,0.44892593105280265,0.32542109272380876,0.6826279763596065,0.5996642884519161,0.40710276650568916,45.04108114060035,0.5404929736872042
P0013,0.2554131197361758,1,1,0.7039679019816281,0.2407723552234815,0.5887317646997821,65.13617043553337,0.7816340452264005
P0014,0.21807973878018452,0.3655119153423643,0.14636050750134014,0.7042131830594346,0.5356279191159052,0.42051740947695787,46.52525190103819,0.5583030228124582
P0015,0.31778144125543606,0.41944344245301707,0.1386937122997843,0.6735485558672994,0.5582674971607314,0.4592572421458089,50.81135381478339,0.6097362457774006
P0016,0.19384951632100766,0.5472398714647012,0.3336486130780869,0.6969442125733915,0.4498455781856462,0.45336014328757673,50.15890993569207,0.6019069192283049
P0017,0.8974703547204116,0.4134643908244875,0.32198543200827884,0.6680788561878765,0.5217294663866013,0.6339856097276186,70.14297037285205,0.8417156444742244
P0018,0.08799272667675755,0.42930610883526743,0.12929303919142676,0.6686829193262445,0.5978521076933156,0.3970375431569739,43.92748384073673,0.5271298060888406
P0019,0.7854486955155221,0.4584185724696689,0.16469982213329185,0.7007553098416309,0.5362032626705191,0.614093559739724,67.94215153477835,0.8153058184173401
P0020,0.40483523147600536,0.48740508926545045,0.20670558911737047,0.7068060783011437,0.5955120810726882,0.5196654529512219,57.49480415779911,0.6899376498935893
P0021,0.5352483371841927,0.295294756435525,0.12663675817989564,0.6943486142606541,0.6452566574699897,0.5111056803587959,56.54776708607939,0.6785732050329526
P0022,0.30413323879213033,0.15511416497362443,0.01580905516216343,0.6963305458215008,0.5440943893524307,0.3865057604973932,42.76226729996749,0.5131472075996099
P0023,0.3743390360643574,0.44041467563067743,0.19741449680454543,0.6959678436839118,0.44869390478490245,0.47357215120591717,52.395128314846,0.628741539778152
P0024,0.2832106082100501,0.3985890894139031,0.1390078425365854,0.7022116105290092,0.5569064331901729,0.4506497145540983,49.85903322014362,0.5983083986417235
P0025,0.2814934158569323,0.435777625534747,0.12908873648738386,0.6630474544907435,0.5348718348479486,0.44583950681501383,49.32684092152848,0.5919220910583417
P0026,0.43660853524436977,0.40090185901974157,0.17987566698383428,0.6854758165319534,0.6657712108052789,0.5114364444312183,56.584362198296994,0.6790123463795639
P0027,0.15400900179600413,0,0,0.6633691317676875,0.6195641099081337,0.3049795999669432,33.74236688746982,0.4049084026496378
P0028,0.2662070658354664,0.47096570390612313,0.3193970709373537,0.6982059248784219,0.5278070343402691,0.46729593564468425,51.70073967981951,0.6204088761578341
P0029,0.423781349450399,0.3013966721329437,0.09078816573397669,0.6632534096178149,0.4659278353071945,0.44272550885558737,48.98231406909248,0.5877877688291098
P0030,0.5136280012528441,0.4745042610275254,0.35784310423222715,0.6967469425080114,0.4618051624299856,0.5340641308358466,59.08784668238163,0.7090541601885795
P0031,0.20940583392877082,0.09694247361434138,0,0.70763797951859575,0.3898616385793162,0.322446109248763,35.67482848324357,0.4280979417989229
P0032,0.724500832310417,0.41994993060721014,0.17893205216597002,0.7023359933927683,0.6581573366140349,0.6055919337935235,67.00154769816821,0.8040185723780184
P0033,0.31023903041312756,0.5052877028650956,0.19396099176510243,0.7077057299835537,0.5468078474118954,0.48803929403614,53.99574567169124,0.6479489480602948
P0034,0.03237812601449756,0.5729218028761518,0.424502207335009,0.7049935103927357,0.5225389954362951,0.42879822580376586,47.441425778429306,0.5692971093411516
P0035,0.16917910620996868,0.13864694448880047,0.004945862153875519,0.6828838567592767,0.5131503479251782,0.3333562774714804,36.88190888801441,0.4425829066561729
P0036,0.6237902103514793,0.4203182185373114,0.1205706396482234,0.697778311206911,0.4887774979778886,0.5460063522205939,60.40911149963238,0.7249093379955885
P0037,0.6618298920575636,0.33807769090292017,0.22230806437884915,0.6858542847176996,0.5980423114986302,0.555353711466161,61.443285671042844,0.737319428052514
P0038,0.4060262945521594,0.4250611868263696,0.14527947172261602,0.7064633242739148,0.5494894943876536,0.49437641388499776,54.696872642063035,0.6563624717047564
P0039,0.8110284060370557,0.3907500156948082,0.2286687469689778,0.7041757120782249,0.5213952926690435,0.6066826850031805,67.12222635176728,0.8054667162212074
P0040,0.5781552468861874,0.3949229669251395,0.103309981031112,0.6836096487190131,0.7616807080541382,0.5624973332365707,62.23364249067474,0.7468037098880969
P0041,0.6814573017961492,0.4460373634287127,0.10318056855667744,0.6680843054472841,0.5174355500085203,0.5657419686869559,62.592622828359154,0.7511114739403097
P0042,0.6100222798880659,0.49755046889856525,0.24672290904660696,0.6852459140124403,0.6134536818530838,0.583059977424464,64.50865460440168,0.7741038552528202
P0043,0.27887202848926174,0.9841260237663149,0.42403337030147054,0.7042707822164599,0.35686481352610033,0.5804922005864608,64.22456062512424,0.7706947275014909
P0044,0.17121725868457977,0.5311416382489302,0.19666845484418585,0.6797353286219496,0.4857788846386569,0.43678467476110167,48.32503140607025,0.579900376872843
P0045,0.6459775386712592,0.5324191501976437,0.446559247537125,0.6995581842223186,0.5311247263091771,0.6037842665296013,66.80155080645368,0.8016186096774439
