plot_id,same_day_responses,avg_health_change_pct_3d,median_health_change_pct_3d,response_result
P0102,6,23.186788574542,22.5418419191087,Strong improvement
P0014,8,19.9412477612472,21.4852713949155,Strong improvement
P0024,6,19.7209233074573,17.7462687267904,Strong improvement
P0033,8,19.6782312040417,20.0104211234124,Strong improvement
P0109,10,19.088790841309,19.7644164629784,Strong improvement
P0079,2,18.9206520620262,18.9206520620262,Strong improvement
P0059,3,18.7601702888944,17.2725990431474,Strong improvement
P0096,5,18.7117872004055,21.4091257154653,Strong improvement
P0004,9,18.0942625016256,15.802109444045,Strong improvement
P0097,7,17.9235348989747,8.06313356332237,Strong improvement
P0100,10,17.7732876152733,16.9539729495438,Strong improvement
P0039,10,16.4585462800123,16.1915528458211,Strong improvement
P0113,6,16.3738676716252,21.907491972043,Strong improvement
P0088,7,16.3026828307671,18.2456263934086,Strong improvement
P0008,7,15.9829539414577,13.9239903760371,Strong improvement
P0043,9,15.8920401314222,18.8262678309303,Strong improvement
P0101,10,15.7091715386514,11.4822834892183,Strong improvement
P0038,7,15.1882915025592,11.2650825628966,Strong improvement
P0028,9,14.9085069551742,14.1004341936,Strong improvement
P0031,8,14.7201556231796,14.116299419609,Strong improvement
P0051,16,14.4982238058988,11.5309601870252,Strong improvement
P0065,9,14.172914190509,13.9592168124722,Strong improvement
P0071,7,13.6715288441151,7.71034359344171,Strong improvement
P0019,10,13.3446805472447,9.04610895378533,Strong improvement
P0050,4,13.168553324992,13.5287206244946,Strong improvement
P0032,6,13.1680571731975,15.3058145656753,Strong improvement
P0116,13,12.7570103294619,13.682932396925,Strong improvement
P0030,11,12.7365987119888,13.0026456529727,Strong improvement
P0063,8,12.5304750963754,12.4987127519821,Strong improvement
P0074,11,12.5262881860287,7.85742980254309,Strong improvement
P0009,11,12.4682840486222,10.081744629099,Strong improvement
P0084,19,12.4179862010602,9.01345126956116,Strong improvement
P0036,10,12.1753006256976,11.4783698275417,Strong improvement
P0055,11,12.1431924332926,7.39791433650656,Strong improvement
P0054,13,12.1216455918882,8.91189144437973,Strong improvement
P0099,11,11.67481441172,11.3699711653933,Strong improvement
P0081,6,11.5722043165713,7.24130252113612,Strong improvement
P0007,15,11.4274679694199,9.37125388854394,Strong improvement
P0086,7,11.2156807219842,12.5758312187004,Strong improvement
P0053,6,11.2076798626379,14.0719003915631,Strong improvement
P0103,9,11.0115594675216,12.008353755039,Strong improvement
P0091,10,10.8443333780332,8.6770289288189,Strong improvement
P0069,25,10.679349313186,10.1245649013668,Strong improvement
P0115,9,10.4176765204761,8.12190350331964,Strong improvement
P0111,17,10.3610283498637,7.14942668161465,Strong improvement
P0077,11,10.1234125254063,9.64948876145002,Strong improvement
P0119,22,10.0899423324776,7.59918090265182,Strong improvement
P0068,8,10.026860691049,11.1505144503967,Strong improvement
P0045,6,10.0201777769752,10.8048070957198,Strong improvement
P0056,14,9.99857876696004,9.02668402513362,Strong improvement
P0026,22,9.98939719147375,10.0212166758167,Strong improvement
P0020,7,9.9575831673356,12.8000463383958,Strong improvement
P0023,6,9.93127922868979,5.60317272338893,Strong improvement
P0114,11,9.5152841035624,9.56718014949604,Strong improvement
P0037,28,9.5081533902067,8.35700403216102,Strong improvement
P0005,12,9.49723380774447,11.2371934773596,Strong improvement
P0040,15,9.39946217514478,6.80141540392367,Strong improvement
P0006,12,9.38983331646916,9.03714851155629,Strong improvement
P0112,28,9.36093490828165,7.79175477106364,Strong improvement
P0035,19,9.17817237279408,8.85329280513606,Strong improvement
P0085,9,9.10933837902508,8.50970310610001,Strong improvement
P0016,20,8.91012588515479,8.39567720181026,Strong improvement
P0098,23,8.67958496337063,5.804486864036,Strong improvement
P0027,40,8.57219575283025,6.2028402310341,Strong improvement
P0042,19,8.28572100312894,5.11098571926068,Strong improvement
P0003,34,8.2788309509855,8.93053013920886,Strong improvement
P0120,39,8.25106148019814,7.43652581994986,Strong improvement
P0090,6,8.21362055417592,7.27275973840149,Strong improvement
P0107,31,8.05739774580295,9.59127291861377,Strong improvement
P0061,22,7.9620354752752,4.18655534182165,Strong improvement
P0048,43,7.56135293363113,5.9788824501485,Strong improvement
P0017,23,7.4094210960723,5.29535508752541,Strong improvement
P0087,30,7.29073141136935,7.82272563073037,Strong improvement
P0047,24,7.28614976133634,5.51342363568446,Strong improvement
P0105,35,7.2790764097762,6.39479787599122,Strong improvement
P0089,13,7.23322424320513,3.89555802142344,Strong improvement
P0052,32,6.8289408809622,5.64987168754949,Strong improvement
P0001,26,6.60866069882946,6.54453613510615,Strong improvement
P0025,32,6.5429481825443,8.52168673972281,Strong improvement
P0080,20,6.48472441187303,5.06777595614304,Strong improvement
P0022,8,6.38207634701225,6.22421817044231,Strong improvement
P0049,27,6.30984757836032,6.85743695414837,Strong improvement
P0041,21,6.30179912821207,3.35804270897329,Strong improvement
P0044,22,6.15849583418823,5.57056813612407,Strong improvement
P0021,7,6.10993962245113,8.10826327448689,Strong improvement
P0066,36,6.08595155709185,6.9093970910704,Strong improvement
P0094,36,6.06034079253736,6.79949212268564,Strong improvement
P0078,20,6.04689276899865,3.64298083371265,Strong improvement
P0110,42,5.98087332834734,4.46001697787582,Strong improvement
P0076,25,5.93044014246873,5.05616803722163,Strong improvement
P0046,9,5.76659154420226,5.13929876348924,Strong improvement
P0018,35,5.75809907669843,5.3015547939675,Strong improvement
P0015,29,5.72921318540286,4.29619983083741,Strong improvement
P0011,37,5.69784859323111,4.32940210871061,Strong improvement
P0117,25,5.60091509750959,3.54792768068433,Strong improvement
P0010,11,5.58794941294268,4.40540737760852,Strong improvement
P0108,33,5.50547493145777,5.78851858957707,Strong improvement
P0034,7,5.49433768629597,7.465792864321,Strong improvement
P0060,18,5.47653484792974,3.93485943264166,Strong improvement
P0057,27,5.27243198076839,2.1529665282239,Strong improvement
P0058,32,5.23948600987807,2.64616503795248,Strong improvement
P0002,31,5.20942580771479,5.42058478480197,Strong improvement
P0070,33,5.17468286825503,5.46276544962896,Strong improvement
P0062,6,4.99582947024864,4.5198339567297,Slight improvement
P0012,13,4.77056945993708,4.75363242741309,Slight improvement
P0067,28,4.61115718242949,2.8715726187833,Slight improvement
P0029,27,4.45846912826364,3.30797729084332,Slight improvement
P0083,20,4.43276818309155,1.84959429644742,Slight improvement
P0073,10,4.39906152894878,2.99131048553921,Slight improvement
P0092,8,4.39257873265899,5.2371265705744,Slight improvement
P0106,36,4.32987300851694,3.87877661185219,Slight improvement
P0064,32,4.23358657592337,4.71587575273262,Slight improvement
P0075,9,3.8143537140901,3.94421799712476,Slight improvement
P0072,22,3.73256575497676,1.20170865343075,Slight improvement
P0093,25,3.38540404617795,2.33834757934555,Slight improvement
P0082,37,3.20992267867399,1.30118535070705,Slight improvement
P0013,3,2.62631477924481,9.45431243947645,Slight improvement
P0095,9,1.96966613068268,-1.4620857473868,Slight improvement
P0104,18,1.00335177973196,-1.12540856180478,Slight improvement
P0118,30,0.707680504888143,1.43073490009363,Slight improvement
