plot_id,plot_health,greenhouse_id,farm_id
P0001,0.7621568407817775,GH003,F08
P0001,0.7099836975661136,GH003,F08
P0001,0.7608135032023535,GH003,F08
P0001,0.808138491521262,GH003,F08
P0001,0.7932969650441202,GH003,F08
P0001,0.7926958035224085,GH003,F08
P0001,0.7928033818149652,GH003,F08
P0001,0.7688156410422361,GH003,F08
P0001,0.7181107562496615,GH003,F08
P0001,0.7500750893674663,GH003,F08
P0001,0.7786263107578769,GH003,F08
P0001,0.6390316942125879,GH003,F08
P0001,0.6976081840546197,GH003,F08
P0001,0.5835349740178585,GH003,F08
P0001,0.6184334737959339,GH003,F08
P0001,0.5284589433575465,GH003,F08
P0001,0.6609777488365941,GH003,F08
P0001,0.6466414735918784,GH003,F08
P0001,0.7725043473077998,GH003,F08
P0001,0.6889883445280857,GH003,F08
P0001,0.76446768628238,GH003,F08
P0001,0.6727212194440827,GH003,F08
P0001,0.7381256514371043,GH003,F08
P0001,0.7650427381141268,GH003,F08
P0001,0.6359187930280796,GH003,F08
P0001,0.6590345583059127,GH003,F08
P0001,0.7563799105986746,GH003,F08
P0001,0.6513529682792769,GH003,F08
P0001,0.6182299138637003,GH003,F08
P0001,0.6522666025206403,GH003,F08
P0001,0.6347828362090701,GH003,F08
P0001,0.658028737528099,GH003,F08
P0001,0.7544612213118477,GH003,F08
P0001,0.6333511393186836,GH003,F08
P0001,0.6332001692715961,GH003,F08
P0001,0.6329891764638037,GH003,F08
P0001,0.7208192211921408,GH003,F08
P0001,0.6561652474016934,GH003,F08
P0001,0.6370253389875947,GH003,F08
P0001,0.6125359347052173,GH003,F08
P0001,0.7079167046108533,GH003,F08
P0001,0.6433358185400002,GH003,F08
P0001,0.6629957130455808,GH003,F08
P0001,0.6992680839241403,GH003,F08
P0001,0.6610769692776132,GH003,F08
P0001,0.6509593426477536,GH003,F08
P0001,0.6373153120790624,GH003,F08
P0001,0.6681372566489098,GH003,F08
P0001,0.5861998415640133,GH003,F08
P0001,0.5694645505888537,GH003,F08
P0001,0.5394983659046234,GH003,F08
P0001,0.5802044866980585,GH003,F08
P0001,0.6169182721606742,GH003,F08
P0001,0.5983535944706806,GH003,F08
P0001,0.6553368670715086,GH003,F08
P0001,0.6803937656574826,GH003,F08
P0001,0.6939134983464033,GH003,F08
P0001,0.6746028583812883,GH003,F08
P0001,0.678762509811496,GH003,F08
P0001,0.7026170861571994,GH003,F08
P0001,0.7399710595297833,GH003,F08
P0001,0.6630226653276592,GH003,F08
P0001,0.6142810315031074,GH003,F08
P0001,0.7032514069468231,GH003,F08
P0001,0.6849796981464619,GH003,F08
P0001,0.6641421284164318,GH003,F08
P0001,0.6371814684657868,GH003,F08
P0001,0.6631816354638668,GH003,F08
P0001,0.6486139771444684,GH003,F08
P0001,0.6552753191396309,GH003,F08
P0001,0.6619446489841639,GH003,F08
P0001,0.7407591125745873,GH003,F08
P0001,0.6457272740859602,GH003,F08
P0001,0.6525215509125757,GH003,F08
P0001,0.7275470880553079,GH003,F08
P0001,0.6793187646994961,GH003,F08
P0001,0.7231273443269257,GH003,F08
P0001,0.7233786625364292,GH003,F08
P0001,0.7129568541524257,GH003,F08
P0001,0.6458241832112388,GH003,F08
P0001,0.7311839687206291,GH003,F08
P0001,0.6678707148945403,GH003,F08
P0001,0.6998103895040607,GH003,F08
P0001,0.6658046682188957,GH003,F08
P0001,0.6400737632285651,GH003,F08
P0001,0.607999705014366,GH003,F08
P0001,0.5383115882336659,GH003,F08
P0001,0.6544043050846936,GH003,F08
P0001,0.667128898701133,GH003,F08
P0001,0.7793522488306257,GH003,F08
P0001,0.7593250475632825,GH003,F08
P0001,0.7916381738362346,GH003,F08
P0001,0.7698761023488283,GH003,F08
P0001,0.6609416759379312,GH003,F08
P0001,0.8164082063168713,GH003,F08
P0001,0.760978218550207,GH003,F08
P0001,0.7970639691374526,GH003,F08
P0001,0.7547435073319831,GH003,F08
P0001,0.7827017859256055,GH003,F08
P0001,0.6924401570277824,GH003,F08
P0001,0.8097937924510545,GH003,F08
P0001,0.6870523765057014,GH003,F08
P0001,0.7825282728130983,GH003,F08
P0001,0.6862529628380711,GH003,F08
P0001,0.7097317626391684,GH003,F08
P0001,0.6964285083000541,GH003,F08
P0001,0.8168705037465682,GH003,F08
P0001,0.6874375239046866,GH003,F08
P0001,0.7953052373154935,GH003,F08
P0001,0.7620304442653527,GH003,F08
P0001,0.7952726919618212,GH003,F08
P0001,0.7985969944728607,GH003,F08
P0001,0.7913677371737765,GH003,F08
P0001,0.8215247482801192,GH003,F08
P0001,0.7909026062450684,GH003,F08
P0001,0.7788898981314393,GH003,F08
P0001,0.8190293122863131,GH003,F08
P0001,0.7719975636453539,GH003,F08
P0001,0.7731156705448359,GH003,F08
P0001,0.7670265827849397,GH003,F08
P0001,0.6518428191065484,GH003,F08
P0001,0.6963008317743887,GH003,F08
P0001,0.6567127461352343,GH003,F08
P0001,0.721785891332921,GH003,F08
P0001,0.721709938553701,GH003,F08
P0001,0.6816010409187592,GH003,F08
P0001,0.8089087853094107,GH003,F08
P0001,0.8157220775191693,GH003,F08
P0001,0.7884514832690998,GH003,F08
P0001,0.7966887931843979,GH003,F08
P0001,0.80390297498943,GH003,F08
P0001,0.7797839801316946,GH003,F08
P0001,0.7850532485838799,GH003,F08
P0001,0.7991009350596777,GH003,F08
P0001,0.7978683422564897,GH003,F08
P0001,0.794243254641781,GH003,F08
P0001,0.782194156549712,GH003,F08
P0001,0.748575306972277,GH003,F08
P0001,0.6322031813653609,GH003,F08
P0001,0.7274376262298476,GH003,F08
P0001,0.8269368598563217,GH003,F08
P0001,0.6929218773504389,GH003,F08
P0001,0.733891603026533,GH003,F08
P0001,0.7900807791664065,GH003,F08
P0001,0.7775232280693766,GH003,F08
P0001,0.8002528189758871,GH003,F08
P0001,0.793188171643205,GH003,F08
P0001,0.7404414460710116,GH003,F08
P0001,0.7858363794922474,GH003,F08
P0001,0.7886910953454862,GH003,F08
P0001,0.7961972751240932,GH003,F08
P0001,0.8212272719095548,GH003,F08
P0001,0.7907545350422243,GH003,F08
P0001,0.7224429531386858,GH003,F08
P0001,0.7651844121211412,GH003,F08
P0001,0.6993727403111875,GH003,F08
P0001,0.7253760598293361,GH003,F08
P0001,0.7104095477285506,GH003,F08
P0001,0.5793963213984124,GH003,F08
P0001,0.6970685447241882,GH003,F08
P0001,0.7419765232019265,GH003,F08
P0001,0.7506718373558331,GH003,F08
P0001,0.8156505910752241,GH003,F08
P0001,0.7709202506738588,GH003,F08
P0001,0.7793194919554397,GH003,F08
P0001,0.788376237448094,GH003,F08
P0001,0.6960961250524934,GH003,F08
P0001,0.8189685916665982,GH003,F08
P0001,0.7844131541114182,GH003,F08
P0001,0.8164961477246087,GH003,F08
P0001,0.7804823885907355,GH003,F08
P0001,0.7935627802285843,GH003,F08
P0001,0.7324768459225303,GH003,F08
P0001,0.7969257805118508,GH003,F08
P0001,0.7647894333835986,GH003,F08
P0001,0.7314240218771212,GH003,F08
P0001,0.697872625602548,GH003,F08
P0001,0.6823464243914704,GH003,F08
P0001,0.7894807078747161,GH003,F08
P0001,0.7017367085768654,GH003,F08
P0001,0.7927427156721816,GH003,F08
P0001,0.7715389420938774,GH003,F08
P0001,0.8084729995409872,GH003,F08
P0001,0.800238462257562,GH003,F08
P0001,0.7956231780927804,GH003,F08
P0001,0.8187473526265399,GH003,F08
P0001,0.7721581684554776,GH003,F08
P0001,0.796484110492107,GH003,F08
P0001,0.7430619457471171,GH003,F08
P0001,0.7863184161388516,GH003,F08
P0001,0.8065195165805573,GH003,F08
P0001,0.7821659276395022,GH003,F08
P0001,0.6588034870821978,GH003,F08
P0001,0.6985518652280944,GH003,F08
P0001,0.6316377039128146,GH003,F08
P0001,0.6257441911942051,GH003,F08
P0001,0.6813843772517891,GH003,F08
P0001,0.6717982992903135,GH003,F08
P0001,0.8144322539188026,GH003,F08
P0001,0.8409928469781499,GH003,F08
P0001,0.7956251154544667,GH003,F08
P0001,0.7952116883488206,GH003,F08
P0001,0.8315518797340081,GH003,F08
P0001,0.7883778754728599,GH003,F08
P0001,0.7368918267054856,GH003,F08
P0001,0.7050378747285491,GH003,F08
P0001,0.8024026915152142,GH003,F08
P0001,0.7161187140848996,GH003,F08
P0001,0.7638126838200554,GH003,F08
P0001,0.785874435062695,GH003,F08
P0002,0.7653094418254678,GH013,F08
P0002,0.7250691353797979,GH013,F08
P0002,0.7279662865783127,GH013,F08
P0002,0.778540606664031,GH013,F08
P0002,0.7930471445257512,GH013,F08
P0002,0.6367552801967281,GH013,F08
P0002,0.7134360498343955,GH013,F08
P0002,0.6777875740101982,GH013,F08
P0002,0.6411032795352357,GH013,F08
P0002,0.6517729321838354,GH013,F08
P0002,0.7561836089621498,GH013,F08
P0002,0.7817905544205971,GH013,F08
P0002,0.650342678223415,GH013,F08
P0002,0.5912725653296806,GH013,F08
P0002,0.6789173546049124,GH013,F08
P0002,0.5399851826731759,GH013,F08
P0002,0.6186637393014386,GH013,F08
P0002,0.6929266944845941,GH013,F08
P0002,0.642534386323652,GH013,F08
P0002,0.7562309062701368,GH013,F08
