plot_id,season_yield_kg_m2,marketable_ratio,season_revenue_cad,total_cost_cad,season_profit_cad,season_roi,precision_benefit_cad,greenhouse_id,farm_id,crop,treatment_block,treatment,plot_area_m2,plant_density_plants_m2,row_orientation,structure_type,heating_system,irrigation_system,capacity_plants,sensor_density_per_100m2,farm_name,region,primary_crop,greenhouse_acres,production_system,climate_zone
P0001,4.15652718979129,0.861321690984907,1527.6386109787,1001.82425085303,525.814360125671,0.524856889497287,341.779334081686,GH003,F08,Strawberry,A,Low N,11.78,12.1,East,Polyfilm,Natural Gas,EBB-Flow,48,2,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0002,4.37932800911927,0.860303423217187,1528.27045842737,1186.55929436841,341.711164058956,0.287984903646003,222.112256638321,GH013,F08,Strawberry,A,Shade,14.84,8.41,North,Glass,Heat Pump,Drip,127,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0003,5.37275515677355,0.904686135086969,1909.24773195601,1364.43367525647,544.814056699541,0.399296841304606,354.129136854702,GH003,F08,Strawberry,C,Shade,22.33,15.61,North,Polyfilm,Natural Gas,EBB-Flow,48,2,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0004,9.74638465147957,0.913070694678013,1057.03454015382,1260.63423677625,-203.599696622431,-0.161505764862522,0.0,GH002,F01,Tomato,D,Integrated Pest,22.52,11.99,North,Glass,Heat Pump,EBB-Flow,171,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0005,10.2721385397839,0.878086265442566,2557.59013897948,1747.24569304474,810.344445934745,0.463783913825333,526.723889857584,GH004,F01,Tomato,C,High N,11.25,23.09,East,Glass,Natural Gas,Fertigation,211,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0006,5.74626227475435,0.865216932572168,2324.57546667694,1476.06682385753,848.508642819411,0.574844328932162,551.530617832617,GH008,F05,Strawberry,C,High N,10.58,22.88,North,Polyfilm,Natural Gas,EBB-Flow,53,3,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0007,4.61812181217741,0.910548952206912,1429.96111766069,1045.09083179206,384.870285868625,0.368264914551657,250.165685814606,GH008,F05,Strawberry,B,Control,9.69,15.3,West,Polyfilm,Natural Gas,EBB-Flow,53,3,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0008,5.67517133224618,0.932349368777217,2471.89836192854,1702.62077685153,769.277585077006,0.451819686177885,500.030430300054,GH009,F06,Strawberry,D,Integrated Pest,22.28,16.63,South,Polyfilm,Heat Pump,EBB-Flow,79,1,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
P0009,5.16004272930051,0.872025623479117,2501.91545751761,1802.24850917026,699.666948347342,0.388218908095788,454.783516425772,GH018,F06,Strawberry,C,Integrated Pest,13.7,22.51,North,Glass,Heat Pump,EBB-Flow,76,3,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
P0010,5.20656653030462,0.870578552320923,3052.97731409574,1944.77406513291,1108.20324896283,0.569836501232389,720.332111825839,GH013,F08,Strawberry,A,High N,14.83,21.09,North,Glass,Heat Pump,Drip,127,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0011,4.65830039120227,0.973685868254822,1528.51625652975,1125.37884097216,403.13741555759,0.358223738425133,262.039320112434,GH009,F06,Strawberry,C,Shade,10.63,16.55,South,Polyfilm,Heat Pump,EBB-Flow,79,1,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
P0012,4.08444175608863,0.941485010782994,2446.14669882877,1701.36352507052,744.783173758253,0.437756636241149,484.109062942865,GH017,F08,Strawberry,A,Control,9.92,13.4,East,Glass,Hydronic,EBB-Flow,72,4,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0013,6.215299662461,0.844807158756211,3962.98743562986,1801.3579252863,2161.62951034356,1.2,1405.05918172332,GH008,F05,Strawberry,C,High Light,11.5,16.93,West,Polyfilm,Natural Gas,EBB-Flow,53,3,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0014,5.09734619489553,0.977426384786829,1758.22827910627,1329.59511348904,428.633165617233,0.322378716098348,278.611557651202,GH019,F08,Strawberry,A,High Light,23.55,23.4,South,Polyfilm,Natural Gas,Fertigation,74,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0015,6.77516165179568,0.841189463280864,1629.39247491031,1166.37064480867,463.021830101638,0.39697658043991,300.964189566065,GH001,F02,Pepper,C,Low N,19.4,10.37,West,Glass,Hydronic,Fertigation,174,1,BC Harvest 2,Maple Ridge,Pepper,7.6,Greenhouse,Interior
P0016,5.48179267431187,0.877094663431181,2368.15596485511,1504.79103271079,863.364932144317,0.573744070357076,561.187205893806,GH019,F08,Strawberry,A,High N,17.75,16.04,South,Polyfilm,Natural Gas,Fertigation,74,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0017,10.1892198477773,0.968425381214844,2494.06831495985,1795.96518672511,698.103128234735,0.388706381056141,453.767033352578,GH004,F01,Tomato,C,Reduced Pest,13.52,18.15,South,Glass,Natural Gas,Fertigation,211,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0018,4.75401835172491,0.851254280294572,1561.95497705152,1107.28371199257,454.671265058953,0.410618579623795,295.536322288319,GH013,F08,Strawberry,B,Reduced Pest,15.83,23.77,West,Glass,Heat Pump,Drip,127,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0019,9.44292308611805,0.959660198590846,1730.36199674046,1192.62369384091,537.738302899556,0.450886818429493,349.529896884712,GH002,F01,Tomato,C,Integrated Pest,9.29,13.91,North,Glass,Heat Pump,EBB-Flow,171,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0020,7.3526614759353,0.860254835631991,1909.0026730757,1280.36699835541,628.635674720295,0.490980848091023,408.613188568192,GH015,F02,Pepper,C,High Light,13.88,18.12,South,Glass,Heat Pump,Drip,162,1,BC Harvest 2,Maple Ridge,Pepper,7.6,Greenhouse,Interior
P0021,8.39551734108012,0.865093750882083,1812.84226033624,1479.56368479962,333.278575536617,0.225254633484569,216.631074098801,GH004,F01,Tomato,B,High N,21.06,20.77,North,Glass,Natural Gas,Fertigation,211,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0022,5.89675286493524,0.949854286261891,1445.04915805368,1401.11384078819,43.9353172654924,0.0313574214931577,28.5579562225701,GH017,F08,Strawberry,D,High N,10.98,8.65,West,Glass,Hydronic,EBB-Flow,72,4,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0023,6.32497823681437,0.965359367925693,1915.57070673334,1343.33262990461,572.238076828733,0.425983903085394,371.954749938676,GH016,F05,Strawberry,D,High N,11.52,19.38,East,Polyfilm,Heat Pump,EBB-Flow,80,4,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0024,6.02608407595902,0.904502805650122,1658.96337253849,1212.57647284518,446.386899693307,0.368130925916703,290.15148480065,GH017,F08,Strawberry,C,Integrated Pest,18.32,10.79,North,Glass,Hydronic,EBB-Flow,72,4,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0025,6.43286178658735,0.845387715508311,1553.7796211094,1094.54248170105,459.237139408356,0.419569954648675,298.504140615432,GH001,F02,Pepper,D,Shade,22.99,10.2,West,Glass,Hydronic,Fertigation,174,1,BC Harvest 2,Maple Ridge,Pepper,7.6,Greenhouse,Interior
P0026,7.41241326413087,0.884142736429755,1883.38375787744,1373.39943072563,509.984327151807,0.371329939231413,331.489812648674,GH007,F04,Cucumber,A,Control,11.35,16.66,South,Polyfilm,Natural Gas,Drip,185,2,BC Harvest 4,Maple Ridge,Cucumber,10.8,Mixed,Fraser Valley
P0027,5.36914133623583,0.842141054956938,1126.55848420413,1379.22717529196,-252.668691087833,-0.183195847366005,0.0,GH003,F08,Strawberry,C,Shade,18.56,21.08,North,Polyfilm,Natural Gas,EBB-Flow,48,2,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0028,5.99441837318317,0.888884315918354,2392.86704894705,1629.74980727619,763.11724167086,0.468241958528752,496.026207086059,GH017,F08,Strawberry,D,Integrated Pest,12.17,23.94,South,Glass,Hydronic,EBB-Flow,72,4,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0029,6.93057250674636,0.932303402644176,1517.35947527436,1229.93101892691,287.428456347449,0.233694777938216,186.828496625842,GH014,F02,Pepper,D,Reduced Pest,22.41,18.13,North,Polyfilm,Heat Pump,Fertigation,120,4,BC Harvest 2,Maple Ridge,Pepper,7.6,Greenhouse,Interior
P0030,8.10306858769739,0.877130258507069,2528.05624259691,1716.10457259503,811.951670001882,0.473136476044743,527.768585501223,GH012,F04,Cucumber,A,High N,19.21,21.55,West,Glass,Hydronic,Fertigation,84,1,BC Harvest 4,Maple Ridge,Cucumber,10.8,Mixed,Fraser Valley
P0031,5.28293987670345,0.931282637381732,1387.81179087258,1459.48017865353,-71.6683877809524,-0.0491054204292595,0.0,GH019,F08,Strawberry,D,High Light,20.48,18.27,East,Polyfilm,Natural Gas,Fertigation,74,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0032,8.89186068270573,0.969847227527293,1850.0192811631,1323.63849371156,526.380787451538,0.39767715275153,342.1475118435,GH020,F01,Tomato,A,Integrated Pest,22.38,17.7,East,Glass,Hydronic,Fertigation,170,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0033,6.23573757569269,0.905259426201821,1834.2577695295,1210.1592669897,624.098502539796,0.515716004962103,405.664026650867,GH008,F05,Strawberry,D,High Light,23.04,23.58,South,Polyfilm,Natural Gas,EBB-Flow,53,3,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0034,4.19677366798889,0.868995338493175,2650.66518233857,1647.12557605637,1003.53960628221,0.609267211237733,652.300744083434,GH016,F05,Strawberry,D,High Light,16.78,19.07,West,Polyfilm,Heat Pump,EBB-Flow,80,4,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0035,4.77791159248861,0.969179994249569,1511.04567039487,1498.19114467737,12.8545257174934,0.0085800305008888,8.35544171637071,GH016,F05,Strawberry,A,Control,10.81,8.29,South,Polyfilm,Heat Pump,EBB-Flow,80,4,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0036,8.1236280418048,0.972419925531964,1518.21487789706,1085.84570445419,432.369173442868,0.398186567087081,281.039962737864,GH007,F04,Cucumber,A,Integrated Pest,13.86,19.91,East,Polyfilm,Natural Gas,Drip,185,2,BC Harvest 4,Maple Ridge,Cucumber,10.8,Mixed,Fraser Valley
P0037,9.51592871076764,0.858886791548658,2240.7335467333,1744.5328961263,496.200650606996,0.284431810778002,322.530422894547,GH020,F01,Tomato,A,Control,16.68,16.14,South,Glass,Hydronic,Fertigation,170,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0038,6.55699674190709,0.965949394727531,1660.73008374838,1182.22716173764,478.502922010742,0.404747021128695,311.026899306983,GH018,F06,Strawberry,C,High Light,11.9,23.57,North,Glass,Heat Pump,EBB-Flow,76,3,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
P0039,10.4959942655711,0.880900883357377,2142.67771100584,1578.64637958376,564.031331422083,0.357287951701255,366.620365424354,GH020,F01,Tomato,C,High Light,22.5,14.95,North,Glass,Hydronic,Fertigation,170,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0040,8.82508714434094,0.857944562050834,1434.78742336447,1052.62238267427,382.165040690199,0.36305996051431,248.407276448629,GH005,F01,Tomato,B,Control,17.23,15.88,North,Polyfilm,Heat Pump,Fertigation,120,4,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0041,9.70687653473349,0.856530736632655,1379.87921268181,962.419146569065,417.460066112742,0.433761181498672,271.349042973282,GH004,F01,Tomato,D,Reduced Pest,15.99,17.15,West,Glass,Natural Gas,Fertigation,211,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0042,8.24303980984818,0.946323010791925,2075.79385498041,1379.25228582993,696.541569150481,0.505013895069499,452.752019947813,GH002,F01,Tomato,A,Control,23.91,15.52,South,Glass,Heat Pump,EBB-Flow,171,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0043,6.35796311601322,0.852381952018638,2578.55581381919,1183.88645144328,1394.66936237591,1.17804318199238,906.535085544342,GH009,F06,Strawberry,A,High Light,13.92,8.25,West,Polyfilm,Heat Pump,EBB-Flow,79,1,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
