"plot_id","season_yield_kg_m2","marketable_ratio","season_revenue_cad","total_cost_cad","season_profit_cad","season_roi","precision_benefit_cad"
"P0001",4.15652718979129,0.861321690984907,1527.6386109787,1001.82425085303,525.814360125671,0.524856889497287,341.779334081686
"P0002",4.37932800911927,0.860303423217187,1528.27045842737,1186.55929436841,341.711164058956,0.287984903646003,222.112256638321
"P0003",5.37275515677355,0.904686135086969,1909.24773195601,1364.43367525647,544.814056699541,0.399296841304606,354.129136854702
"P0004",9.74638465147957,0.913070694678013,1057.03454015382,1260.63423677625,-203.599696622431,-0.161505764862522,0
"P0005",10.2721385397839,0.878086265442566,2557.59013897948,1747.24569304474,810.344445934745,0.463783913825333,526.723889857584
"P0006",5.74626227475435,0.865216932572168,2324.57546667694,1476.06682385753,848.508642819411,0.574844328932162,551.530617832617
"P0007",4.61812181217741,0.910548952206912,1429.96111766069,1045.09083179206,384.870285868625,0.368264914551657,250.165685814606
"P0008",5.67517133224618,0.932349368777217,2471.89836192854,1702.62077685153,769.277585077006,0.451819686177885,500.030430300054
"P0009",5.16004272930051,0.872025623479117,2501.91545751761,1802.24850917026,699.666948347342,0.388218908095788,454.783516425772
"P0010",5.20656653030462,0.870578552320923,3052.97731409574,1944.77406513291,1108.20324896283,0.569836501232389,720.332111825839
"P0011",4.65830039120227,0.973685868254822,1528.51625652975,1125.37884097216,403.13741555759,0.358223738425133,262.039320112434
"P0012",4.08444175608863,0.941485010782994,2446.14669882877,1701.36352507052,744.783173758253,0.437756636241149,484.109062942865
"P0013",6.215299662461,0.844807158756211,3962.98743562986,1801.3579252863,2161.62951034356,1.2,1405.05918172332
"P0014",5.09734619489553,0.977426384786829,1758.22827910627,1329.59511348904,428.633165617233,0.322378716098348,278.611557651202
"P0015",6.77516165179568,0.841189463280864,1629.39247491031,1166.37064480867,463.021830101638,0.39697658043991,300.964189566065
"P0016",5.48179267431187,0.877094663431181,2368.15596485511,1504.79103271079,863.364932144317,0.573744070357076,561.187205893806
"P0017",10.1892198477773,0.968425381214844,2494.06831495985,1795.96518672511,698.103128234735,0.388706381056141,453.767033352578
"P0018",4.75401835172491,0.851254280294572,1561.95497705152,1107.28371199257,454.671265058953,0.410618579623795,295.536322288319
"P0019",9.44292308611805,0.959660198590846,1730.36199674046,1192.62369384091,537.738302899556,0.450886818429493,349.529896884712
"P0020",7.3526614759353,0.860254835631991,1909.0026730757,1280.36699835541,628.635674720295,0.490980848091023,408.613188568192
"P0021",8.39551734108012,0.865093750882083,1812.84226033624,1479.56368479962,333.278575536617,0.225254633484569,216.631074098801
"P0022",5.89675286493524,0.949854286261891,1445.04915805368,1401.11384078819,43.9353172654924,0.0313574214931577,28.5579562225701
"P0023",6.32497823681437,0.965359367925693,1915.57070673334,1343.33262990461,572.238076828733,0.425983903085394,371.954749938676
