date,plot_id,greenhouse_id,farm_id,crop,air_temp_c,relative_humidity_pct,vpd_kpa,co2_ppm,light_ppfd,substrate_moisture,substrate_ec,substrate_ph,canopy_temp_c,pest_pressure_index,disease_risk_index,plant_stress_index,alert_type,alert_flag,recommended_action,action_taken,action_delay_days,post_action_stress_delta_3d
2025-02-15,P0001,GH003,F08,Strawberry,22.384120781750138,67.61061652573336,1.4613659957406115,966.9755272608936,401.32114578674725,0.4611489213988264,1.755728247842112,6.077896494506827,24.51309706872892,0.3932361188127526,0.1525160403652031,0.45788780360487175,,0,,0,0,0
2025-02-16,P0001,GH003,F08,Strawberry,23.271205943559828,72.68071436569615,1.7864152987597914,928.0344445145888,480.43472126629706,0.5370842593771834,1.928269735,6.212629619486508,23.93230574292965,0.3728154223225683,0.1395066827448505,0.5623945897406732,High Pest Pressure,1,Increase Venting,1,1,-0.009684196
2025-02-17,P0001,GH003,F08,Strawberry,22.91963013775276,70.21921733982724,1.358698129564638,979.4670751,348.70262220774123,0.425013441,2.1413566676091342,6.058327952801414,25.222528366325943,0.3983940208358715,0.1358796864882989,0.46808597203043323,,0,,0,0,0
2025-02-18,P0001,GH003,F08,Strawberry,21.699973584855176,67.88556758545491,1.3711532740976549,926.3629963443864,353.9926204,0.5399143669013083,2.019507585515733,6.096967466217611,24.93620060040041,0.3815647643887199,0.1266615405398908,0.40004252985424127,,0,,0,0,0
2025-02-19,P0001,GH003,F08,Strawberry,21.049325446102262,64.17613952422892,1.2072492221317492,909.8840533524703,404.4226255023116,0.4733083745568349,2.134367817608932,6.107785184446644,25.22344573643801,0.3847736687326629,0.1464787935780253,0.412053284,,0,,0,0,0
2025-02-20,P0001,GH003,F08,Strawberry,23.40099448617171,71.16680172826713,1.388407655714434,885.8278697621527,494.4250074530358,0.4985494581286834,2.250872775669372,6.152788993226333,24.791770576877884,0.4044738766930245,0.1265893603555089,0.41712697503379476,,0,,0,0,0
2025-02-21,P0001,GH003,F08,Strawberry,22.928080946251104,69.67112322289155,1.1135175150916805,886.7241786,501.6710770528266,0.5483546365363097,2.272897265115488,6.008102470032861,26.527851290100223,0.3933919909922362,0.1498432862629157,0.4074248235748046,,0,,0,0,0
2025-02-22,P0001,GH003,F08,Strawberry,21.511150356269628,70.21631964,1.408151014783728,827.9005927136054,425.0035509065195,0.4781106903220878,2.127202022,6.2412775595405146,24.309426581499004,0.4238722365073453,0.1350016279296084,0.44484264929330647,,0,,0,0,0
2025-02-23,P0001,GH003,F08,Strawberry,22.979660829636256,68.95339306,1.606550885391605,828.3907139325353,656.8747310482863,0.4840710306730375,1.8417414957798823,6.132969406727149,25.32878280380457,0.3810792188878936,0.1420196987786367,0.5437904110255335,High VPD,0,Increase Venting,0,0,0
2025-02-24,P0001,GH003,F08,Strawberry,22.600142472333392,65.32024253685145,1.3523633912426514,787.8172756437527,262.9713104059905,0.4185465558449087,2.0053337788423846,6.094882819531721,25.25708534448387,0.4176221926301036,0.1444818831863102,0.47345545864602445,,0,,0,0,0
2025-02-25,P0001,GH003,F08,Strawberry,24.088047113121007,72.33387844659154,1.353835627519668,754.5772612543038,540.7634504466274,0.4557041906544303,1.968358885708015,6.125097657289637,24.84317285390092,0.3936887571448945,0.1259089411358852,0.4457238738483924,,0,,0,0,0
2025-02-26,P0001,GH003,F08,Strawberry,22.99372843972308,77.80449840055259,1.5441694541649862,733.6353865789634,386.5926177039784,0.3603114295178182,1.9143265691259304,6.046838662455928,25.947499467619675,0.4598302945083079,0.1439628604134096,0.6453137780297983,High Pest Pressure,1,Increase Irrigation,1,1,-0.015738127
2025-02-27,P0001,GH003,F08,Strawberry,22.31092980854464,67.41233172189439,1.3621276670560245,702.0205486172108,434.8040316440618,0.3912312769314184,1.9438318195032311,6.162084460553382,25.37125524,0.3953475474064924,0.1318393285486483,0.578982229,High Pest Pressure,1,Increase Irrigation,1,2,0.02898681
2025-02-28,P0001,GH003,F08,Strawberry,25.97784883963629,62.14616120782273,1.7067830028719708,727.0545179050883,356.9809451977285,0.3425518125176486,1.9956658058035608,6.108251563368228,26.04528402129432,0.4070636485496315,0.1361163846544661,0.7653010108465352,High Pest Pressure,1,Increase Venting,1,1,-0.046258276
2025-03-01,P0001,GH003,F08,Strawberry,23.19079065754921,60.61914890549155,1.626548763115318,695.4918734462631,376.6222786819239,0.4380280423658073,1.993164439057666,6.142468598063408,26.623407326052096,0.4291077106823489,0.1282308208781748,0.7019952685172575,High Pest Pressure,1,Increase Venting,1,0,0.030815345
2025-03-02,P0001,GH003,F08,Strawberry,23.891117721295963,67.70883621997395,1.3157482451245808,649.6953427,368.0161813043197,0.3123142657441455,1.9456013222972324,6.263525000991399,24.63978011102847,0.4197474234486311,0.1445519583616832,0.8486249752614647,High Pest Pressure,1,Increase Irrigation,1,2,-0.020189438
2025-03-03,P0001,GH003,F08,Strawberry,20.790955461465128,68.42191799,1.5705742324654646,690.0404859442759,464.4491017200919,0.4544586458572429,2.023135029858236,6.202523150570882,27.03045123951373,0.4387987862572129,0.1458016804896317,0.6153827087872998,High Pest Pressure,1,,0,0,0
2025-03-04,P0001,GH003,F08,Strawberry,23.979887110642363,65.50213262643531,1.6257622246384238,684.0148633153881,598.2936639171427,0.4196935514222223,2.029567376,6.365486176194127,25.21654052123178,0.4272529676837731,0.1444653981603628,0.6451301097321192,High Pest Pressure,1,Increase Venting,1,1,-0.060004386
2025-03-05,P0001,GH003,F08,Strawberry,23.88819930328222,73.16742518406089,1.3549514863162802,809.5366054178559,559.5599575651557,0.4060754751115669,1.9493165156912649,6.146442313616765,26.73364536480213,0.4279763897128003,0.1403059771360815,0.4337589925873375,,0,,0,0,0
2025-03-06,P0001,GH003,F08,Strawberry,21.24691451123128,67.87490221912165,1.7439782896561744,798.1798568,507.9573034007219,0.4891028725389659,2.011977230422952,5.955451844803207,27.55694684,0.4570549115339037,0.1231218123740773,0.5741568460385917,High Pest Pressure,1,Increase Venting,1,1,-0.064747397
