plot_id,marketable_yield,roi_normalized,precision_benefit,plot_health,env_stability_score,final_score,performance_percent,final_score_scaled_to_75
P0001,0.0230785081793248,0.51189622800822,0.135282838695283,0.674761221661407,0.535770035152136,0.390717562078789,43.22825307158,0.51873903685896
P0002,0.0491464504601443,0.340646447073471,0.104127954734739,0.66343667740289,0.43256690430862,0.335856149640164,37.1584900229383,0.445901880275259
P0003,0.201165467689324,0.421120906182477,0.190905947455884,0.662207420377846,0.526933934275088,0.419767109460935,46.4422401244503,0.557306881493404
P0004,0.762799751500297,0.0156811362214447,0,0.700641566732529,0.595087803728021,0.497183771747786,55.0074734133962,0.660089680960754
P0005,0.779583574084465,0.467742700661927,0.3636154793688,0.695554536000393,0.517893133861762,0.620564125438624,68.658042701943,0.823896512423316
P0006,0.216617098560164,0.548035318166758,0.321648117677238,0.694756137293627,0.535047761270793,0.472022563507627,52.223684858806,0.626684218305672
P0007,0.109986406809085,0.398685958295638,0.103296865920447,0.684064985600314,0.445466889063809,0.375668534672307,41.5632571042952,0.498759085251542
P0008,0.261047256610162,0.459093001727224,0.336371918142638,0.699396650460399,0.476970380492617,0.456300743010979,50.4842523348131,0.605811028017757
P0009,0.150965458078265,0.413111965706034,0.323835725518128,0.697702190059628,0.402583161577169,0.399572436877377,44.2079396939933,0.530495276327919
P0010,0.155559751525541,0.544414841927396,0.553486838386747,0.694883588821385,0.528181443654323,0.463394091612343,51.2690470259791,0.615228564311749
P0011,0.155976422347655,0.391426555264863,0.116511978588764,0.665740555453432,0.569664776511385,0.402360019790016,44.5163526021934,0.534196231226321
P0012,0.0599786391620302,0.448925931052803,0.325421092723809,0.682627976359607,0.599664288451916,0.407102766505689,45.0410811406004,0.540492973687204
P0013,0.255413119736176,1,1,0.703967901981628,0.240772355223482,0.588731764699782,65.1361704355334,0.781634045226401
P0014,0.218079738780185,0.365511915342364,0.14636050750134,0.704213183059435,0.535627919115905,0.420517409476958,46.5252519010382,0.558303022812458
P0015,0.317781441255436,0.419443442453017,0.138693712299784,0.673548555867299,0.558267497160731,0.459257242145809,50.8113538147834,0.609736245777401
P0016,0.193849516321008,0.547239871464701,0.333648613078087,0.696944212573392,0.449845578185646,0.453360143287577,50.1589099356921,0.601906919228305
P0017,0.897470354720412,0.413464390824488,0.321985432008279,0.668078856187877,0.521729466386601,0.633985609727619,70.1429703728521,0.841715644474224
P0018,0.0879927266767576,0.429306108835267,0.129293039191427,0.668682919326245,0.597852107693316,0.397037543156974,43.9274838407367,0.527129806088841
P0019,0.785448695515522,0.458418572469669,0.164699822133292,0.700755309841631,0.536203262670519,0.614093559739724,67.9421515347784,0.81530581841734
P0020,0.404835231476005,0.48740508926545,0.20670558911737,0.706806078301144,0.595512081072688,0.519665452951222,57.4948041577991,0.689937649893589
